ax,ay,az,gx,gy,gz
-0.026367,0.013672,1.087402,-4.732824,3.770992,0.549618
-0.027588,-0.003662,1.086670,-4.900764,3.694656,0.404580
-0.034424,0.006592,1.097168,-4.366412,3.473282,-1.488550
-0.015137,0.017578,1.077393,-1.366412,1.282443,-1.931298
-0.029785,0.010986,1.099121,-4.129771,-1.977099,-3.167939
-0.011719,0.011230,1.090088,-4.267176,-0.129771,-3.625954
-0.031494,0.006836,1.092529,-5.427481,1.435115,-2.206107
-0.038330,0.010742,1.095459,-4.030534,2.114504,-2.335878
-0.049561,0.002197,1.094482,-0.740458,3.786260,-2.839695
-0.032959,0.042725,1.085449,5.541985,5.190840,-1.374046
-0.035400,0.028564,1.066895,-8.801527,2.442748,0.450382
-0.030273,0.013916,1.091553,-2.977099,2.305344,0.488550
-0.035400,0.016113,1.086914,-6.648855,-0.564885,1.007634
-0.031250,0.015625,1.103027,-5.320611,1.793893,1.503817
-0.029541,0.010986,1.098389,-5.580153,2.419847,1.938931
-0.041016,0.021240,1.094238,-4.412214,2.709924,2.312977
-0.041504,0.019287,1.092529,-5.404580,2.541985,1.465649
-0.035645,0.031494,1.082520,-3.847328,1.038168,0.229008
-0.041016,0.009521,1.099121,-5.358778,-0.114504,0.702290
-0.039063,0.021484,1.092285,-3.961832,0.412214,1.541985
-0.043213,0.030518,1.084717,-5.862596,0.068702,0.854962
-0.035156,0.019043,1.093750,-6.259542,-1.290076,0.763359
-0.031250,0.013916,1.093262,-4.167939,-2.167939,0.213740
-0.029297,0.020264,1.091553,-6.206107,-2.877863,-0.358779
-0.035889,0.024414,1.092285,-5.297710,-0.641221,-0.633588
-0.038330,0.016602,1.089600,-5.916030,0.396947,-0.061069
-0.035400,0.014893,1.098633,-4.351145,2.931298,0.343511
-0.037842,0.023438,1.084961,-4.717557,4.137404,1.259542
-0.040771,0.018555,1.092773,-5.305344,4.267176,1.847328
-0.041504,0.022461,1.086182,-5.129771,2.236641,1.954198
-0.040039,0.012207,1.088867,-5.977099,-0.610687,1.648855
-0.035889,0.013184,1.100342,-4.977099,0.152672,0.541985
-0.036133,0.020508,1.098877,-5.740458,3.984733,1.625954
-0.042236,0.016357,1.085938,-6.320611,5.076336,2.503817
-0.052490,0.020752,1.085205,-6.091603,5.167939,3.496183
-0.047852,0.020752,1.091064,-4.778626,4.854962,2.847328
-0.037842,0.036621,1.086182,-5.229008,3.152672,2.786260
-0.049072,0.018311,1.086670,-3.106870,2.374046,2.320611
-0.055908,0.021729,1.090088,-4.061069,1.396947,0.961832
-0.046631,0.010742,1.085449,-5.335878,-0.809160,0.618321
-0.041748,0.017578,1.094727,-3.053435,-1.656489,0.328244
-0.044434,0.021484,1.097656,-3.496183,-0.824427,1.809160
-0.053711,0.029297,1.090088,-3.221374,2.488550,0.511450
-0.059082,0.019531,1.092285,-3.366412,2.244275,0.679389
-0.051758,0.027832,1.091064,-2.885496,0.267176,0.618321
-0.056396,0.028809,1.100342,-3.351145,0.839695,0.183206
-0.051514,0.028809,1.083008,-5.251908,0.328244,-0.671756
-0.049805,0.027344,1.083496,-6.572519,-2.870229,-0.290076
-0.039795,0.018311,1.100830,-4.290076,-0.969466,0.564885
-0.045898,0.030762,1.075684,-0.908397,1.908397,0.137405
-0.044922,0.030762,1.080811,-7.282443,0.152672,1.076336
-0.039551,0.026367,1.096924,-4.412214,-0.557252,1.076336
-0.035645,0.030518,1.077637,-5.557252,-3.580153,1.076336
-0.034668,0.022217,1.091064,-4.687023,-4.206107,0.374046
-0.052246,0.030762,1.103271,-6.404580,-1.984733,0.435115
-0.040527,0.022217,1.096924,-5.503817,0.396947,0.748092
-0.042969,0.022461,1.092041,-4.213740,3.824427,1.190840
-0.040039,0.016602,1.090088,-5.152672,4.366412,1.274809
-0.050049,0.020264,1.091064,-2.954198,4.656488,0.847328
-0.046387,0.031006,1.083252,-4.488550,2.770992,0.480916
-0.042725,0.037842,1.085449,-4.770992,0.458015,0.679389
-0.043457,0.024170,1.097656,-3.877863,-0.404580,0.519084
-0.041992,0.037109,1.094727,-3.412214,1.312977,0.900763
-0.054932,0.027588,1.082764,-5.145038,1.946565,0.305344
-0.051514,0.035400,1.090576,-5.175572,-0.557252,-0.511450
-0.044434,0.030029,1.095459,-5.557252,-1.244275,-0.961832
-0.038818,0.023682,1.098633,-1.404580,2.755725,-0.427481
-0.051025,0.036865,1.093994,-2.450382,6.282443,1.160305
-0.064697,0.026367,1.085938,-4.137404,4.992366,1.076336
-0.054932,0.044434,1.084473,-3.198473,-0.732824,0.106870
-0.037354,0.041504,1.093750,-3.992366,-5.343512,-1.381679
-0.024902,0.031006,1.105225,-2.145038,-2.488550,-2.419847
-0.036865,0.030029,1.097412,-4.839694,4.916030,-1.938931
-0.057129,0.034668,1.086426,-8.328244,7.946565,0.671756
-0.063965,0.028809,1.093262,-7.732824,7.419847,2.908397
-0.067627,0.008545,1.101563,0.297710,3.725191,3.809160
-0.061035,0.032227,1.083984,3.656489,0.755725,2.969466
-0.056885,0.052490,1.084717,-0.297710,-0.664122,2.870229
-0.055908,0.054932,1.070313,-4.259542,-3.564885,2.641221
-0.033691,0.042480,1.072754,-4.870229,-5.801527,1.992366
-0.041016,0.042969,1.104004,-4.435114,-2.152672,1.083969
-0.032959,0.049316,1.104248,-5.564886,2.236641,-0.076336
-0.033447,0.051758,1.105957,-7.679389,4.748092,1.290076
-0.038086,0.026123,1.096924,-6.938931,5.694656,0.312977
-0.046143,0.034180,1.089600,-12.900764,6.709924,-4.816794
-0.038086,0.026611,1.089844,-10.679389,6.274809,-6.381680
-0.068115,0.057617,1.086182,-6.992366,4.885496,-4.435114
-0.003662,0.087158,1.100098,-5.198473,4.885496,-3.740458
-0.056885,0.042480,1.067383,-12.816793,7.335878,-1.839695
-0.079102,0.012695,1.122559,-9.992367,8.732824,-3.015267
-0.085693,0.017090,1.063721,-6.213740,4.435114,-3.251908
-0.057373,0.045898,1.053711,-16.122137,-2.885496,-0.549618
-0.050781,0.012939,1.096191,-15.648855,-5.450382,-0.305344
-0.026367,-0.006348,1.128174,0.610687,-1.022901,-2.106870
-0.066162,0.012207,1.092285,13.435115,4.221374,-3.648855
-0.072998,0.029297,1.064941,0.236641,2.091603,-1.671756
-0.070557,0.022705,1.069824,-8.351145,-2.167939,-1.038168
-0.049072,0.028320,1.085205,-10.740458,-4.763359,-3.282443
-0.055420,0.022949,1.083252,-7.709924,-6.809160,-2.862595
-0.073975,0.022949,1.074707,-1.633588,-11.694656,-2.091603
-0.061035,0.036621,1.079834,-12.549619,-13.931297,0.022901
-0.046875,0.037842,1.106934,-14.274809,-5.725191,0.847328
-0.049805,0.008545,1.108643,-8.198473,-2.328244,0.061069
-0.057617,0.000732,1.072998,0.137405,-3.618321,-1.053435
-0.062500,0.030518,1.072266,-12.839695,-6.580153,-2.435115
-0.042725,-0.004883,1.107910,-10.580153,-4.870229,-7.442748
-0.035645,0.014160,1.124023,5.793893,8.244275,-13.312977
-0.063721,0.036377,1.077881,2.206107,9.404580,-11.816793
-0.125000,0.005615,1.111328,-0.458015,6.801527,-8.244275
-0.098877,0.010742,1.124756,3.366412,12.351145,-6.740458
-0.060547,0.037598,1.082275,-0.061069,15.885496,-7.366412
-0.072510,0.042480,1.082031,-5.007634,12.816793,-4.786260
-0.084473,0.041260,1.054199,-7.068702,8.717557,-1.122137
-0.093506,0.022217,1.079346,-5.229008,1.580153,1.152672
-0.067871,0.024658,1.105225,-6.648855,6.396946,1.267176
-0.061523,0.032959,1.072998,-15.061069,11.152672,-2.473282
-0.067383,0.052734,1.084229,-22.511450,7.572519,-1.290076
-0.103516,0.007080,1.098145,-5.496183,6.702290,-1.572519
-0.092041,0.027588,1.048584,-16.335878,3.106870,3.396947
-0.083008,-0.001709,1.090820,-22.022902,6.992366,8.595420
-0.084229,0.004639,1.071533,-20.656488,7.916030,13.526717
-0.111328,-0.029785,1.116699,-15.312977,-1.404580,10.725191
-0.106689,-0.019531,1.096680,-5.801527,0.580153,4.938931
-0.124023,-0.006104,1.085205,-7.244275,-3.633588,2.236641
-0.097168,-0.006592,1.078613,-5.870229,-4.427481,1.412214
-0.095947,-0.019287,1.093018,-2.801527,-3.145038,1.229008
-0.093506,-0.034668,1.084961,0.946565,-1.236641,-0.709924
-0.088135,0.005859,1.080322,-2.068702,-1.000000,-0.977099
-0.068359,0.021240,1.065186,-2.137405,2.610687,5.793893
-0.099609,-0.015869,1.123535,3.938931,2.961832,5.870229
-0.086670,0.002930,1.060791,-7.198473,-2.320611,2.931298
-0.083740,-0.010742,1.114258,-8.442748,-2.793893,-0.770992
-0.099365,-0.012939,1.038330,-7.488550,-2.396947,-0.580153
-0.097168,-0.014404,1.130371,-6.793893,0.893130,0.045802
-0.090820,0.003418,1.087158,-5.145038,0.412214,-1.091603
-0.089111,-0.002686,1.084229,-5.854962,-0.702290,-0.099237
-0.083008,-0.010986,1.084961,-2.244275,2.007634,4.206107
-0.102539,-0.010742,1.091309,-7.129771,0.328244,4.083970
-0.067139,0.021484,1.037842,-4.404580,1.221374,1.992366
-0.094727,0.011475,1.090088,-6.923664,1.328244,3.458015
-0.106445,-0.002441,1.103027,-2.992366,-1.366412,-0.160305
-0.095459,-0.020020,1.081299,-5.603054,-4.152672,-6.290076
-0.091797,0.011475,1.078613,-9.702291,-3.847328,-5.786260
-0.072510,0.002930,1.067139,-7.473282,-1.137405,-2.297710
-0.072998,0.033203,1.055908,-8.694656,1.282443,1.687023
-0.065430,-0.006836,1.093262,-10.595420,-1.992366,4.030534
-0.082520,-0.026611,1.076660,-8.389313,-3.473282,-0.351145
-0.078369,-0.023193,1.069336,-5.381680,-0.610687,-2.305344
-0.055420,0.003662,1.065674,-8.419847,-0.259542,0.114504
-0.093018,-0.002930,1.099609,-6.152672,-1.969466,-3.503817
-0.086914,-0.006592,1.060791,-9.564885,-3.198473,-4.129771
-0.091064,-0.005859,1.078857,-4.076336,2.045802,-2.702290
-0.098877,-0.030518,1.102783,-5.290076,0.229008,-3.480916
-0.094971,-0.005127,1.074707,-6.282443,-2.267176,-6.801527
-0.062988,-0.023193,1.089111,-8.259542,-3.122137,-6.114504
-0.054443,-0.019287,1.084229,-3.351145,2.213740,-4.091603
-0.058350,-0.008789,1.093750,-2.938931,3.343511,-4.274809
-0.069092,-0.001221,1.103760,-5.167939,0.603053,-4.083970
-0.074219,-0.017822,1.086670,-3.007634,0.358779,-3.564885
-0.070068,-0.000244,1.047363,-2.740458,1.740458,-5.442748
-0.075439,-0.004883,1.088623,-7.114504,0.374046,-4.396946
-0.091309,-0.007568,1.073975,-4.824428,0.022901,-5.274809
-0.097900,-0.002686,1.077393,-6.282443,-0.381679,-3.519084
-0.094971,-0.002197,1.076416,-4.687023,1.412214,-1.152672
-0.092529,-0.005615,1.082520,-4.045802,1.442748,0.221374
-0.101318,-0.024414,1.088379,-3.992366,0.526718,0.450382
-0.080322,-0.019043,1.075928,-5.954198,-0.854962,-0.870229
-0.080078,-0.019531,1.088867,-5.595420,0.030534,-0.038168
-0.071777,-0.003662,1.097656,-2.152672,3.068702,2.931298
-0.088379,-0.011963,1.083984,-5.297710,0.557252,1.839695
-0.073242,0.000000,1.075684,-6.106870,0.366412,0.862595
-0.078857,-0.017090,1.099609,-4.656488,1.847328,1.709924
-0.074463,-0.022949,1.097168,-3.854962,1.847328,1.213740
-0.075439,-0.004150,1.086670,-4.839694,1.114504,1.022901
-0.074463,-0.019043,1.079346,-6.068702,0.450382,1.061069
-0.073242,-0.022217,1.097168,-5.198473,1.045802,0.786260
-0.073975,-0.005371,1.083252,-5.206107,0.854962,0.511450
-0.073730,-0.013916,1.085938,-5.076336,0.045802,0.465649
-0.085693,-0.014648,1.079834,-5.541985,0.358779,0.343511
-0.084717,-0.013428,1.093750,-5.908397,0.801527,0.045802
-0.073486,-0.013672,1.097900,-6.648855,0.114504,0.015267
-0.070801,-0.007324,1.081055,-6.244275,-0.335878,0.076336
-0.086426,-0.020264,1.092285,-5.641222,0.549618,-0.213740
-0.073975,-0.016846,1.089355,-4.015267,1.061069,0.717557
-0.077637,-0.021484,1.082275,-6.274809,0.541985,0.320611
-0.063965,-0.009277,1.086914,-5.671756,1.312977,-0.091603
-0.081543,-0.014648,1.100098,-5.381680,0.229008,0.190840
-0.077393,-0.011963,1.087646,-5.038168,0.312977,0.748092
-0.074219,-0.019531,1.079346,-5.160306,0.893130,0.396947
-0.070313,-0.018311,1.088135,-6.114504,0.862595,-0.206107
-0.076172,-0.023193,1.096191,-5.305344,0.320611,-0.465649
-0.075684,-0.013916,1.089111,-5.389313,0.160305,-0.954198
-0.086182,-0.004883,1.086182,-4.419847,0.312977,-0.343511
-0.081543,-0.014404,1.088867,-4.763359,0.931298,0.282443
-0.083252,-0.010742,1.087402,-6.106870,0.572519,-0.045802
-0.078857,-0.012207,1.084473,-6.419847,-0.213740,0.206107
-0.076172,-0.017578,1.084961,-5.274809,0.839695,0.473282
-0.079346,-0.013428,1.087402,-4.641222,1.152672,0.167939
-0.084473,-0.024414,1.084717,-5.106870,0.923664,-0.320611
-0.081787,-0.006592,1.099609,-6.030534,0.076336,-0.603053
-0.078125,-0.025635,1.091309,-4.885496,0.603053,0.335878
-0.075684,-0.021240,1.086670,-3.977099,1.251908,0.458015
-0.078857,-0.013916,1.077148,-5.251908,0.198473,-0.267176
-0.079834,-0.019287,1.090332,-5.671756,0.160305,-0.587786
-0.082031,-0.018311,1.092773,-4.618320,0.366412,-0.114504
-0.076416,-0.014160,1.079590,-5.091603,0.908397,0.068702
-0.078857,-0.015137,1.081543,-5.984733,0.106870,-0.351145
-0.083496,-0.023438,1.092773,-5.152672,0.572519,-0.206107
-0.077393,-0.020020,1.089600,-4.648855,1.480916,0.244275
-0.077881,-0.007568,1.093506,-4.114504,1.282443,0.145038
-0.080078,-0.017334,1.085938,-5.885496,0.419847,-0.694656
-0.077637,-0.025391,1.098145,-5.297710,0.625954,-0.274809
-0.079834,-0.020264,1.081787,-4.458015,1.167939,0.290076
-0.077637,-0.001953,1.083252,-5.870229,1.045802,-0.122137
-0.075684,-0.012451,1.086914,-6.748092,0.229008,-0.694656
-0.077637,-0.020264,1.097656,-5.763359,0.564885,-0.541985
-0.081055,-0.021240,1.086182,-4.526718,1.145038,-0.022901
-0.078857,-0.009766,1.097900,-5.396946,-0.229008,-0.610687
-0.077637,-0.012207,1.082764,-5.824428,-0.381679,-0.572519
-0.080811,-0.022949,1.088379,-5.450382,0.274809,0.007634
-0.079346,-0.021484,1.089355,-4.129771,1.427481,0.465649
-0.079346,-0.002930,1.087646,-5.267176,0.374046,-0.320611
-0.084473,-0.012207,1.086182,-5.534351,0.183206,-0.580153
-0.077881,-0.028320,1.087158,-4.381680,1.129771,0.114504
-0.080322,-0.016357,1.093506,-3.900763,2.099237,0.618321
-0.071045,-0.009277,1.085693,-3.633588,1.931298,0.984733
-0.075684,-0.017578,1.086182,-4.541985,0.656489,-0.290076
-0.079834,-0.014404,1.085938,-4.832061,0.557252,-0.175573
-0.086426,-0.006348,1.084961,-5.656488,0.717557,-0.290076
-0.081299,-0.015625,1.077148,-6.374046,0.633588,-0.717557
-0.073242,-0.011963,1.087891,-4.809160,0.427481,-0.557252
-0.085938,-0.011963,1.078857,-4.175572,0.267176,-0.396947
-0.084717,-0.020508,1.097168,-6.427481,-0.190840,-0.236641
-0.078613,-0.018555,1.079346,-5.778626,0.435115,-0.053435
-0.074463,-0.019043,1.104736,-4.961832,0.595420,-0.015267
-0.078613,-0.019043,1.067139,-4.343512,1.030534,0.183206
-0.085693,-0.017090,1.096680,-5.343512,0.274809,-0.381679
-0.076172,-0.016602,1.084229,-5.206107,0.473282,-0.083969
-0.080566,-0.017578,1.096436,-4.038168,0.534351,0.549618
-0.084717,-0.011475,1.075684,-5.412214,0.847328,-0.572519
-0.082275,-0.018799,1.093506,-5.564886,-0.442748,-0.572519
-0.079346,-0.013916,1.081787,-5.305344,0.351145,-0.282443
-0.080078,-0.007813,1.075928,-5.091603,0.496183,-0.648855
-0.080078,-0.016846,1.107178,-4.282443,0.335878,-0.244275
-0.087158,-0.026123,1.072266,-5.465649,0.091603,-0.213740
-0.088623,-0.009521,1.091797,-5.198473,0.381679,0.587786
-0.074707,-0.011230,1.079346,-4.274809,0.473282,0.213740
-0.078613,-0.024658,1.092529,-4.610687,0.290076,-0.167939
-0.089111,-0.017334,1.093750,-5.511450,-0.007634,-0.244275
-0.075928,-0.015625,1.089600,-5.053435,0.251908,-0.038168
-0.083252,-0.018311,1.082031,-4.618320,0.374046,0.076336
-0.085938,-0.021973,1.092041,-3.778626,0.908397,0.503817
-0.082764,-0.029541,1.087646,-3.290076,1.099237,0.709924
-0.087891,-0.011475,1.087891,-4.740458,0.465649,-0.297710
-0.084473,-0.014160,1.080078,-5.709924,-0.541985,-0.816794
-0.085693,-0.015869,1.088379,-5.862596,0.435115,-0.549618
-0.075195,-0.006592,1.088379,-5.152672,0.740458,0.114504
-0.088379,-0.010254,1.077393,-5.083970,0.572519,-0.068702
-0.085205,-0.016113,1.085693,-6.450382,-0.152672,-0.396947
-0.075928,-0.023438,1.086426,-5.374046,0.671756,-0.007634
-0.082031,-0.014160,1.080566,-4.709924,0.396947,-0.038168
-0.086426,-0.002930,1.084229,-5.030534,0.236641,-0.206107
-0.080811,-0.017578,1.085693,-5.687023,-0.282443,-0.068702
-0.084717,-0.015137,1.087646,-5.328244,0.496183,0.137405
-0.071533,-0.017090,1.080322,-5.038168,0.549618,0.045802
-0.082031,-0.012695,1.087402,-4.770992,0.496183,-0.320611
-0.073975,-0.016357,1.094971,-5.564886,0.244275,-0.793893
-0.083984,-0.019043,1.090576,-5.458015,0.549618,-0.526718
-0.084717,-0.011230,1.096191,-4.618320,0.961832,-0.389313
-0.073486,-0.009766,1.088623,-4.732824,0.412214,-0.419847
-0.094971,-0.015869,1.079346,-4.916030,0.282443,-0.381679
-0.080811,-0.023438,1.084961,-5.236641,0.633588,0.251908
-0.078613,-0.009521,1.090820,-3.870229,0.931298,0.641221
-0.078613,-0.014404,1.087402,-5.603054,0.305344,-0.412214
-0.072754,-0.009521,1.087646,-6.000000,-0.061069,-0.290076
-0.074463,-0.020996,1.093262,-5.534351,0.511450,-0.244275
-0.076904,-0.017578,1.088379,-5.022901,0.709924,-0.015267
-0.075928,-0.012207,1.093018,-4.809160,0.679389,-0.320611
-0.078125,-0.014404,1.092041,-4.358778,0.519084,-0.190840
-0.080566,-0.014404,1.074707,-4.557252,1.183206,0.122137
-0.078613,-0.009033,1.088379,-5.236641,0.687023,-0.282443
-0.076660,-0.012939,1.089355,-4.480916,0.503817,-0.030534
-0.084473,-0.020020,1.094971,-4.763359,0.595420,-0.244275
-0.081299,-0.015137,1.086182,-4.465649,0.770992,0.259542
-0.086182,-0.011719,1.087646,-5.755725,0.137405,-0.625954
-0.081299,-0.020264,1.082764,-5.938931,-0.282443,-0.862595
-0.081543,-0.020996,1.087891,-4.702290,0.511450,0.099237
-0.082520,-0.017578,1.082275,-4.900764,0.687023,-0.328244
-0.078369,-0.011963,1.087646,-5.450382,0.068702,-0.534351
-0.085449,-0.018311,1.089844,-5.908397,-0.442748,-0.435115
-0.078613,-0.020752,1.084473,-4.641222,0.687023,0.343511
-0.072510,-0.019043,1.087158,-4.908397,0.656489,-0.106870
-0.082520,-0.016113,1.084473,-5.954198,0.198473,-0.839695
-0.089844,-0.015625,1.087158,-5.106870,0.076336,-0.183206
-0.074951,-0.023926,1.080566,-4.152672,0.648855,0.190840
-0.087891,-0.003662,1.080078,-5.770992,0.091603,-0.679389
-0.081543,-0.022949,1.086670,-5.244275,0.137405,-0.076336
-0.078857,-0.021729,1.096436,-4.465649,0.984733,0.541985
-0.075928,-0.015381,1.078857,-3.717557,1.030534,0.969466
-0.076904,-0.009766,1.078857,-5.419847,0.832061,-0.435115
-0.080322,-0.015869,1.076172,-6.404580,0.213740,-0.625954
-0.076660,-0.020264,1.094727,-5.671756,0.664122,-0.061069
-0.078125,-0.009521,1.084473,-4.290076,1.045802,0.450382
-0.082031,-0.012451,1.081055,-4.419847,1.030534,0.473282
-0.072754,-0.015137,1.082764,-5.641222,0.145038,-0.083969
-0.072266,-0.020508,1.102295,-3.900763,0.633588,0.167939
-0.074951,-0.013672,1.080811,-3.877863,1.404580,0.381679
-0.088867,-0.009033,1.085449,-4.412214,1.000000,0.480916
-0.081055,-0.010498,1.084961,-4.801527,0.748092,-0.167939
-0.083984,-0.008301,1.095215,-5.442748,0.015267,-0.503817
-0.088867,-0.020508,1.088379,-4.717557,0.610687,0.122137
-0.080078,-0.015625,1.084229,-5.213740,0.412214,0.152672
-0.079346,-0.011719,1.077393,-7.221374,-0.251908,-0.198473
-0.072998,-0.017090,1.092285,-4.778626,0.748092,-0.274809
-0.081787,-0.010254,1.083252,-4.045802,0.900763,0.221374
-0.084473,-0.007813,1.092773,-5.610687,0.251908,-0.137405
-0.080322,-0.009033,1.093262,-5.877862,0.198473,-0.343511
-0.078369,-0.013428,1.096924,-5.007634,0.618321,0.015267
-0.077881,-0.019043,1.079346,-5.236641,0.282443,-0.198473
-0.088867,-0.010986,1.091064,-5.801527,-0.381679,-0.511450
-0.077637,-0.017090,1.086182,-5.816794,0.366412,-0.488550
-0.082275,-0.015381,1.095215,-4.541985,0.374046,-0.007634
-0.086914,-0.009521,1.083984,-5.671756,-0.236641,-0.549618
-0.080566,-0.018066,1.086914,-6.427481,-0.648855,-0.335878
-0.076660,-0.012695,1.083252,-5.503817,0.503817,0.511450
-0.079590,-0.015381,1.077881,-4.549618,0.809160,0.618321
-0.077393,-0.009521,1.083496,-4.916030,0.419847,0.221374
-0.070557,-0.020996,1.087891,-5.419847,0.343511,-0.717557
-0.080322,-0.014404,1.097656,-5.022901,0.587786,-0.328244
-0.087402,-0.019043,1.085693,-5.091603,0.572519,0.145038
-0.081299,-0.016113,1.083252,-5.038168,0.473282,-0.190840
-0.081299,-0.017334,1.092773,-4.885496,0.656489,0.053435
-0.077881,-0.018799,1.098633,-3.671756,0.877863,0.404580
-0.083008,-0.001465,1.076172,-4.717557,0.427481,0.129771
-0.080078,-0.010742,1.080322,-5.839694,-0.534351,-0.167939
-0.076904,-0.019043,1.083496,-6.183206,-0.312977,-0.145038
-0.076172,-0.023193,1.094482,-3.671756,0.961832,0.358779
-0.083008,-0.010254,1.087402,-5.603054,-0.053435,-0.572519
-0.085205,-0.008301,1.082764,-6.335878,-1.099237,-0.648855
-0.085938,-0.017334,1.092285,-6.519084,-1.519084,0.190840
-0.076660,-0.022217,1.081299,-5.404580,-0.916031,0.541985
-0.064453,-0.013916,1.078125,-5.534351,-0.900763,-0.007634
-0.075439,-0.012207,1.076660,-7.083970,-1.809160,-0.351145
-0.057861,-0.015381,1.082520,-8.190840,-2.328244,-0.526718
-0.072021,-0.029785,1.097900,-5.251908,-1.099237,0.595420
-0.059082,0.026855,1.033936,-10.389313,-0.778626,2.229008
-0.066406,-0.018066,1.081787,-4.931298,-1.022901,0.129771
-0.067871,-0.013184,1.084717,-8.931297,-2.106870,-1.183206
-0.064209,-0.031494,1.103027,-6.671756,-1.381679,0.137405
-0.061523,-0.031006,1.086914,-4.618320,0.961832,0.389313
-0.075928,-0.013428,1.082520,-5.190840,0.702290,0.129771
-0.076660,-0.019531,1.085693,-5.549618,0.587786,0.183206
-0.064941,-0.022705,1.088379,-4.954198,0.480916,0.526718
-0.070557,-0.025635,1.082275,-3.664122,1.465649,1.114504
-0.071289,-0.020508,1.087646,-3.465649,1.923664,0.984733
-0.075684,-0.024414,1.088623,-5.549618,0.564885,-0.236641
-0.070068,-0.021484,1.098633,-6.702290,-0.427481,-0.633588
-0.073975,-0.027832,1.091064,-5.702290,0.290076,0.152672
-0.058594,-0.021240,1.079834,-4.839694,1.572519,0.038168
-0.070801,-0.010986,1.092041,-5.122138,0.305344,-0.206107
-0.071289,-0.030029,1.091797,-4.954198,0.633588,-0.343511
-0.082031,-0.028809,1.091553,-4.763359,0.702290,0.282443
-0.074951,-0.023193,1.090088,-4.519084,1.091603,0.572519
-0.065674,-0.010254,1.090576,-4.366412,0.526718,0.465649
-0.073730,-0.017334,1.091064,-4.587786,-0.832061,0.145038
-0.078125,-0.003662,1.099121,-4.328244,-1.603053,1.267176
-0.070557,-0.018066,1.080811,-3.076336,-1.557252,2.259542
-0.076172,0.000488,1.092041,-5.274809,-5.404580,2.526718
-0.041748,-0.052246,1.103760,-8.167939,-7.664122,2.541985
-0.045898,-0.028320,1.076660,-8.786260,-5.610687,0.122137
-0.049561,-0.035889,1.092529,-5.106870,-3.503817,-0.045802
-0.046387,-0.037109,1.087158,-4.557252,-1.641221,-1.030534
-0.064941,-0.007080,1.088135,-3.000000,0.015267,-0.198473
-0.064453,-0.017090,1.086914,-5.099236,-2.335878,0.351145
-0.046875,-0.036621,1.078857,-5.946565,-1.671756,-0.404580
-0.047363,-0.027588,1.085693,-4.381680,0.816794,-0.129771
-0.058838,-0.017090,1.076172,-4.152672,1.419847,-0.106870
-0.058594,-0.010498,1.082275,-5.809160,-0.511450,-1.236641
-0.056152,-0.026367,1.090332,-5.183206,-0.251908,-0.755725
-0.049805,-0.024414,1.076416,-4.404580,2.030534,-0.213740
-0.052734,-0.014404,1.084961,-5.274809,1.480916,-0.648855
-0.053711,-0.017578,1.094971,-6.129771,-0.259542,-1.053435
-0.057617,-0.017578,1.091553,-5.992366,-0.152672,-0.786260
-0.049072,-0.016113,1.089355,-6.877862,-0.366412,-0.984733
-0.051270,-0.026855,1.096191,-5.671756,0.381679,-0.801527
-0.050537,-0.027100,1.083252,-5.717557,0.274809,-0.946565
-0.050049,-0.017578,1.082520,-4.801527,0.984733,-0.328244
-0.060791,-0.029297,1.095459,-5.083970,0.053435,-0.106870
-0.049805,-0.026123,1.083252,-4.984733,0.038168,-0.007634
-0.054932,-0.016602,1.092773,-5.122138,-0.076336,-0.114504
-0.046631,-0.027344,1.082764,-5.007634,-0.267176,-0.175573
-0.054932,-0.030762,1.088135,-5.091603,-0.091603,-0.343511
-0.052734,-0.015869,1.091553,-4.030534,0.267176,-0.198473
-0.058350,-0.017822,1.082031,-6.236641,-0.725191,-0.702290
